Gaze_position_during_number_pres.ordinal,Gaze_position_during_number_pres.onset,Gaze_position_during_number_pres.offset,Gaze_position_during_number_pres.l/m/r/i/n,
616,162426,162458,"l",
617,162459,162491,"l",
618,162492,162524,"l",
619,162525,162557,"l",
620,162558,162590,"l",
621,162591,162623,"l",
622,162624,173744,"l",
623,173745,173777,"l",
624,173778,173810,"l",
625,173811,173843,"l",
626,173844,173876,"l",
627,173877,173909,"l",
628,173910,173942,"l",
629,173943,173975,"l",
630,173976,174008,"l",
631,174009,174041,"l",
632,174042,174074,"l",
633,174075,174107,"l",
634,174108,174140,"l",
635,174141,174173,"l",
636,174174,174206,"l",
637,174207,174239,"l",
638,174240,174272,"l",
639,174273,174305,"l",
640,174306,174338,"l",
641,174339,174371,"l",
642,174372,174404,"l",
643,174405,174437,"l",
644,174438,174470,"l",
645,174471,174503,"l",
646,174504,174536,"l",
647,174537,174569,"l",
648,174570,174602,"l",
649,174603,174635,"l",
650,174636,174668,"l",
651,174669,174701,"l",
652,174702,174734,"l",
653,174735,174767,"l",
654,174768,174800,"l",
655,174801,174833,"l",
656,174834,174866,"l",
657,174867,174899,"l",
658,174900,174932,"l",
659,174933,174965,"l",
660,174966,174998,"l",
661,174999,175031,"l",
662,175032,175064,"l",
663,175065,175097,"l",
664,175098,175130,"l",
665,175131,175163,"l",
666,175164,175196,"l",
667,175197,175229,"l",
668,175230,175262,"l",
669,175263,175295,"l",
670,175296,175328,"l",
671,175329,175361,"m",
672,175362,175394,"m",
673,175395,175427,"m",
674,175428,175460,"m",
675,175461,175493,"m",
676,175494,175526,"m",
677,175527,175559,"m",
678,175560,175592,"m",
679,175593,175625,"m",
680,175626,175658,"m",
681,175659,175691,"m",
682,175692,175724,"l",
683,175725,175757,"l",
684,175758,175790,"l",
685,175791,175823,"l",
686,175824,175856,"l",
687,175857,175889,"l",
688,175890,175922,"l",
689,175923,175955,"l",
690,175956,175988,"l",
691,175989,176021,"l",
692,176022,176054,"l",
693,176055,176087,"l",
694,176088,176120,"l",
695,176121,176153,"l",
696,176154,176186,"l",
697,176187,176219,"l",
698,176220,176252,"l",
699,176253,176285,"l",
700,176286,176318,"l",
701,176319,176351,"l",
702,176352,176384,"l",
703,176385,176417,"l",
704,176418,176450,"l",
705,176451,176483,"l",
706,176484,176516,"l",
707,176517,176549,"l",
708,176550,176582,"l",
709,176583,176615,"l",
710,176616,176648,"l",
711,176649,176681,"l",
712,176682,176714,"l",
713,176715,176747,"l",
714,176748,176780,"l",
715,176781,176813,"l",
716,176814,176846,"l",
717,176847,176879,"l",
718,176880,176912,"l",
719,176913,176945,"l",
720,176946,176978,"l",
721,176979,177011,"l",
722,177012,177044,"l",
723,177045,177077,"l",
724,177078,177110,"l",
725,177111,177143,"l",
726,177144,177176,"l",
727,177177,177209,"l",
728,177210,177242,"l",
729,177243,177275,"l",
730,177276,177308,"l",
731,177309,177341,"l",
732,177342,177374,"l",
733,177375,177407,"i",
734,177408,177440,"i",
735,177441,177473,"i",
736,177474,177506,"i",
737,177507,177539,"i",
738,177540,177572,"m",
739,177573,177605,"m",
740,177606,177638,"m",
741,177639,177671,"m",
742,177672,177704,"m",
743,177705,177737,"m",
744,177738,177770,"m",
745,177771,177803,"m",
746,177804,177836,"m",
747,177837,177869,"m",
748,177870,177902,"m",
749,177903,177935,"m",
750,177936,177968,"m",
751,177969,178001,"m",
752,178002,178034,"m",
753,178035,178067,"m",
754,195987,196019,"l",
755,196020,196052,"l",
756,196053,196085,"l",
757,196086,196118,"l",
758,196119,196151,"l",
759,196152,196184,"l",
760,196185,196217,"l",
761,196218,196250,"l",
762,196251,196283,"l",
763,196284,196316,"l",
764,196317,196349,"l",
765,196350,196382,"l",
766,196383,196415,"l",
767,196416,196448,"l",
768,196449,196481,"l",
769,196482,196514,"l",
770,196515,196547,"l",
771,196548,196580,"l",
772,196581,196613,"n",
773,196614,196646,"n",
774,196647,196679,"n",
775,196680,196712,"n",
776,196713,196745,"n",
777,196746,196778,"n",
778,196779,196811,"n",
779,196812,196844,"n",
780,196845,196877,"n",
781,196878,196910,"n",
782,196911,196943,"n",
783,196944,196976,"n",
784,196977,197009,"n",
785,197010,197042,"n",
786,197043,197075,"n",
787,197076,197108,"n",
788,197109,197141,"n",
789,197142,197174,"n",
790,197175,197207,"n",
791,197208,197240,"n",
792,197241,197273,"n",
793,197274,197306,"n",
794,197307,197339,"n",
795,197340,197372,"n",
796,197373,197405,"n",
797,197406,197438,"n",
798,197439,197471,"n",
799,197472,197504,"n",
800,197505,197537,"n",
801,197538,197570,"n",
802,197571,197603,"n",
803,197604,197636,"n",
804,197637,197669,"l",
805,197670,197702,"l",
806,197703,197735,"l",
807,197736,197768,"l",
808,197769,197801,"l",
809,197802,197834,"l",
810,197835,197867,"l",
811,197868,197900,"l",
812,197901,197933,"l",
813,197934,197966,"i",
814,197967,197999,"m",
815,198000,198032,"m",
816,198033,198065,"m",
817,198066,198098,"i",
818,198099,198131,"i",
819,198132,198164,"m",
820,198165,198197,"m",
821,198198,198230,"l",
822,198231,198263,"l",
823,198264,198296,"l",
824,198297,198329,"l",
825,198330,198362,"l",
826,198363,198395,"l",
827,198396,198428,"l",
828,198429,198461,"l",
829,198462,198494,"l",
830,198495,198527,"l",
831,198528,198560,"l",
832,198561,198593,"l",
833,198594,198626,"l",
834,198627,198659,"l",
835,198660,198692,"l",
836,198693,198725,"l",
837,198726,198758,"l",
838,198759,198791,"l",
839,198792,198824,"l",
840,198825,198857,"l",
841,198858,198890,"l",
842,198891,198923,"l",
843,198924,198956,"l",
844,198957,198989,"l",
845,198990,199022,"l",
846,199023,199055,"l",
847,199056,199088,"l",
848,199089,199121,"l",
849,199122,199154,"l",
850,199155,199187,"l",
851,199188,199220,"i",
852,199221,199253,"i",
853,199254,199286,"m",
854,199287,199319,"m",
855,199320,199352,"m",
856,199353,199385,"m",
857,199386,199418,"m",
858,199419,199451,"m",
859,199452,199484,"m",
860,199485,199517,"m",
861,199518,199550,"m",
862,199551,199583,"m",
863,199584,199616,"m",
864,199617,199649,"m",
865,199650,199682,"m",
866,199683,199715,"m",
867,199716,199748,"m",
868,199749,199781,"m",
869,199782,199814,"m",
870,199815,199847,"m",
871,199848,199880,"m",
872,199881,199913,"m",
873,199914,199946,"m",
874,199947,199979,"m",
875,199980,200012,"m",
876,200013,200045,"m",
877,200046,200078,"m",
878,200079,200111,"m",
879,200112,200144,"m",
880,200145,200177,"m",
881,200178,200210,"l",
882,200211,214433,"l",
883,214434,214466,"l",
884,214467,214499,"l",
885,214500,214532,"l",
886,214533,214565,"l",
887,214566,214598,"l",
888,214599,214631,"l",
889,214632,214664,"l",
890,214665,214697,"l",
891,214698,214730,"l",
892,214731,214763,"l",
893,214764,214796,"l",
894,214797,214829,"l",
895,214830,214862,"l",
896,214863,214895,"l",
897,214896,214928,"l",
898,214929,214961,"l",
899,214962,214994,"l",
900,214995,215027,"l",
901,215028,215060,"l",
902,215061,215093,"l",
903,215094,215126,"l",
904,215127,215159,"l",
905,215160,215192,"l",
906,215193,215225,"l",
907,215226,215258,"l",
908,215259,215291,"l",
909,215292,215324,"m",
910,215325,215357,"m",
911,215358,215390,"m",
912,215391,215423,"m",
913,215424,215456,"m",
914,215457,215489,"m",
915,215490,215522,"n",
916,215523,215555,"n",
917,215556,215588,"n",
918,215589,215621,"n",
919,215622,215654,"n",
920,215655,215687,"n",
921,215688,215720,"n",
922,215721,215753,"n",
923,215754,215786,"n",
924,215787,215819,"n",
925,215820,215852,"n",
926,215853,215885,"n",
927,215886,215918,"m",
928,215919,215951,"l",
929,215952,215984,"l",
930,215985,216017,"l",
931,216018,216050,"l",
932,216051,216083,"l",
933,216084,216116,"l",
934,216117,216149,"l",
935,216150,216182,"l",
936,216183,216215,"l",
937,216216,216248,"l",
938,216249,216281,"l",
939,216282,216314,"l",
940,216315,216347,"l",
941,216348,216380,"l",
942,216381,216413,"l",
943,216414,216446,"l",
944,216447,216479,"n",
945,216480,216512,"n",
946,216513,216545,"n",
947,216546,216578,"n",
948,216579,216611,"n",
949,216612,216644,"n",
950,216645,216677,"n",
951,216678,216710,"n",
952,216711,216743,"n",
953,216744,216776,"n",
954,216777,216809,"n",
955,216810,216842,"n",
956,216843,216875,"n",
957,216876,216908,"n",
958,216909,216941,"n",
959,216942,216974,"n",
960,216975,217007,"n",
961,217008,217040,"n",
962,217041,217073,"l",
963,217074,217106,"l",
964,217107,217139,"l",
965,217140,217172,"l",
966,217173,217205,"l",
967,217206,217238,"l",
968,217239,217271,"l",
969,217272,217304,"l",
970,217305,217337,"n",
971,217338,217370,"n",
972,217371,217403,"n",
973,217404,217436,"n",
974,217437,217469,"n",
